"","spsi_treatcombi","lambda","species","site","treat_combi","site_treat_combi","treat_warm","treat_comp","trend","method"
"1","brapin_hi_bare.ambi",1.40548854036642,"brapin","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"2","brapin_hi_bare.warm",0.800017482319572,"brapin","hi","bare.warm","hi.bare.warm","warm","bare","shrink","normal"
"3","brapin_hi_vege.ambi",0.939091881583246,"brapin","hi","vege.ambi","hi.vege.ambi","ambi","vege","shrink","normal"
"4","brapin_hi_vege.warm",0.880386407133669,"brapin","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"5","broere_hi_bare.ambi",2.06054267819629,"broere","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"6","broere_hi_bare.warm",1.26235494103178,"broere","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"7","broere_hi_vege.ambi",1.00169405493628,"broere","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"8","broere_hi_vege.warm",1.18251964320776,"broere","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"9","cenjac_hi_bare.ambi",6.04736268935055,"cenjac","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"10","cenjac_hi_bare.warm",5.07144454175407,"cenjac","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"11","cenjac_hi_vege.ambi",1.39857972686849,"cenjac","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"12","cenjac_hi_vege.warm",1.673114724657,"cenjac","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"13","daucar_hi_bare.ambi",4.3699093407151,"daucar","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"14","daucar_hi_bare.warm",4.41909403460051,"daucar","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"15","daucar_hi_vege.ambi",5.60332204916003,"daucar","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"16","daucar_hi_vege.warm",2.7475134992708,"daucar","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"17","hypper_hi_bare.ambi",2.62941097743755,"hypper","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"18","hypper_hi_bare.warm",1.9247800604318,"hypper","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"19","hypper_hi_vege.ambi",1.33500028020183,"hypper","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"20","hypper_hi_vege.warm",0.84367120008049,"hypper","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"21","medlup_hi_bare.ambi",3.35583929103346,"medlup","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"22","medlup_hi_bare.warm",1.87852464041523,"medlup","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"23","medlup_hi_vege.ambi",2.04403392015626,"medlup","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"24","medlup_hi_vege.warm",1.07854345702079,"medlup","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"25","plamed_hi_bare.ambi",1.30430625850332,"plamed","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"26","plamed_hi_bare.warm",0.959303069824066,"plamed","hi","bare.warm","hi.bare.warm","warm","bare","shrink","normal"
"27","plamed_hi_vege.ambi",1.07248526000204,"plamed","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"28","plamed_hi_vege.warm",0.694487003848372,"plamed","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"29","salpra_hi_bare.ambi",1.5671820880696,"salpra","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"30","salpra_hi_bare.warm",1.02355984407146,"salpra","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"31","salpra_hi_vege.ambi",0.989003374663546,"salpra","hi","vege.ambi","hi.vege.ambi","ambi","vege","shrink","normal"
"32","salpra_hi_vege.warm",0.987461171002203,"salpra","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"33","scacol_hi_bare.ambi",2.12739957791027,"scacol","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"34","scacol_hi_bare.warm",2.49381133575164,"scacol","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"35","scacol_hi_vege.ambi",0.902618041645356,"scacol","hi","vege.ambi","hi.vege.ambi","ambi","vege","shrink","normal"
"36","scacol_hi_vege.warm",1.02498154767601,"scacol","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"37","silvul_hi_bare.ambi",5.12467100538619,"silvul","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"38","silvul_hi_bare.warm",2.59545777751637,"silvul","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"39","silvul_hi_vege.ambi",0.908288558112229,"silvul","hi","vege.ambi","hi.vege.ambi","ambi","vege","shrink","normal"
"40","silvul_hi_vege.warm",0.897298675118827,"silvul","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"41","brapin_lo_bare.ambi",1.94607330854256,"brapin","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"42","brapin_lo_vege.ambi",1.24827315652811,"brapin","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"43","broere_lo_bare.ambi",4.85085025069298,"broere","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"44","broere_lo_vege.ambi",1.11185076729016,"broere","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"45","cenjac_lo_bare.ambi",6.87576329772663,"cenjac","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"46","cenjac_lo_vege.ambi",1.281635792131,"cenjac","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"47","daucar_lo_bare.ambi",2.23582507171491,"daucar","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"48","daucar_lo_vege.ambi",4.56331663768084,"daucar","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"49","hypper_lo_bare.ambi",11.839897611895,"hypper","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"50","hypper_lo_vege.ambi",2.92901498697614,"hypper","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"51","medlup_lo_bare.ambi",2.62630520692327,"medlup","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"52","medlup_lo_vege.ambi",0.506162084818475,"medlup","lo","vege.ambi","lo.vege.ambi","ambi","vege","shrink","normal"
"53","plamed_lo_bare.ambi",3.55244375894931,"plamed","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"54","plamed_lo_vege.ambi",1.00818636576078,"plamed","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"55","salpra_lo_bare.ambi",2.11319567022527,"salpra","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"56","salpra_lo_vege.ambi",0.907107573824012,"salpra","lo","vege.ambi","lo.vege.ambi","ambi","vege","shrink","normal"
"57","scacol_lo_bare.ambi",12.903296904275,"scacol","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"58","scacol_lo_vege.ambi",1.16192074458068,"scacol","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"59","silvul_lo_bare.ambi",3.83158956905071,"silvul","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"60","silvul_lo_vege.ambi",0.894764886315491,"silvul","lo","vege.ambi","lo.vege.ambi","ambi","vege","shrink","normal"
